service_id,date,exception_type
LAB,20210101,2
FES,20210101,1
LAB,20210106,2
FES,20210106,1
LAB,20210319,2
FES,20210319,1
LAB,20210402,2
FES,20210402,1
LAB,20210405,2
FES,20210405,1
LAB,20210412,2
FES,20210412,1
SAB,20210501,2
FES,20210501,1
SAB,20211009,2
FES,20211009,1
LAB,20211012,2
FES,20211012,1
LAB,20211101,2
FES,20211101,1
LAB,20211206,2
FES,20211206,1
LAB,20211208,2
FES,20211208,1
SAB,20211225,2
FES,20211225,1
LAB,20210122,2
FES,20210122,1
LAB,20220106,2
FES,20220106,1
LAB,20220815,2
FES,20220815,1
LAB,20221012,2
FES,20221012,1
LAB,20220415,2
FES,20220415,1
LAB,20221101,2
FES,20221101,1
SAB,20220101,2
FES,20220101,1
SAB,20220122,2
FES,20220122,1
SAB,20220319,2
FES,20220319,1
LAB,20221206,2
FES,20221206,1
LAB,20221208,2
FES,20221208,1
LAB,20220418,2
FES,20220418,1
LAB,20220425,2
FES,20220425,1
LAB,20220624,2
FES,20220624,1
NLAB,20210105,2
NFES,20210105,1
NLAB,20210404,2
NFES,20210404,1
NLAB,20210411,2
NFES,20210411,1
NLAB,20211011,2
NFES,20211011,1
NLAB,20211031,2
NFES,20211031,1
NLAB,20211205,2
NFES,20211205,1
NLAB,20211207,2
NFES,20211207,1
NLAB,20220814,2
NFES,20220814,1
NLAB,20221011,2
NFES,20221011,1
NLAB,20220430,2
NFES,20220430,1
NLAB,20221031,2
NFES,20221031,1
NLAB,20221224,2
NFES,20221224,1
NLAB,20221205,2
NFES,20221205,1
NLAB,20220417,2
NFES,20220417,1
NLAB,20220424,2
NFES,20220424,1
