trip_id,start_time,end_time,headway_secs
911D0I,6:05:00,6:30:00,1500
911D0I,6:30:00,6:59:00,870
911D0I,6:59:00,21:28:00,389
911D0I,21:28:00,21:55:00,810
911D0I,21:55:00,22:15:00,1200
911D0V,6:17:00,6:44:00,1620
911D0V,6:44:00,7:12:00,840
911D0V,7:12:00,21:25:00,388
911D0V,21:25:00,22:10:00,675
911D0V,22:10:00,22:25:00,900
932D2I,7:15:00,8:00:00,2700
932D2I,8:00:00,9:44:00,1040
932D2I,9:44:00,22:25:00,866
932D2V,6:50:00,7:35:00,2700
932D2V,7:35:00,8:36:00,1220
932D2V,8:36:00,18:47:00,853
932D2V,18:47:00,22:20:00,980
932D0I,5:55:00,6:42:00,2820
932D0I,6:42:00,7:48:00,1320
932D0I,7:48:00,22:25:00,781
932D0V,5:30:00,6:17:00,2820
932D0V,6:17:00,7:18:00,1220
932D0V,7:18:00,9:09:00,833
932D0V,9:09:00,9:19:00,1260
932D0V,9:19:00,9:30:00,660
932D0V,9:30:00,22:20:00,792
932D1I,5:55:00,6:40:00,2700
932D1I,6:40:00,7:54:00,2220
932D1I,7:54:00,8:29:00,1050
932D1I,8:29:00,21:35:00,761
932D1I,21:35:00,21:49:00,1560
932D1I,21:49:00,22:04:00,900
932D1I,22:04:00,22:25:00,1260
932D1V,5:30:00,6:15:00,2700
932D1V,6:15:00,7:28:00,2190
932D1V,7:28:00,7:46:00,1080
932D1V,7:46:00,9:20:00,806
932D1V,9:20:00,9:30:00,1200
932D1V,9:30:00,9:40:00,600
932D1V,9:40:00,22:25:00,755
975D2I,7:30:00,8:00:00,1800
975D2I,8:00:00,8:47:00,1410
975D2I,8:47:00,9:17:00,1800
975D2I,9:17:00,9:32:00,1800
975D2I,9:32:00,9:47:00,900
975D2I,9:47:00,16:06:00,989
975D2I,16:06:00,16:20:00,1620
975D2I,16:20:00,16:34:00,840
975D2I,16:34:00,22:30:00,887
975D2V,8:15:00,8:33:00,1080
975D2V,8:33:00,22:20:00,931
975D0I,6:30:00,6:45:00,900
975D0I,6:45:00,7:43:00,870
975D0I,7:43:00,7:52:00,1140
975D0I,7:52:00,8:00:00,480
975D0I,8:00:00,21:42:00,641
975D0I,21:42:00,22:20:00,1080
975D0V,6:30:00,6:45:00,900
975D0V,6:45:00,8:15:00,771
975D0V,8:15:00,8:24:00,1080
975D0V,8:24:00,8:33:00,540
975D0V,8:33:00,17:30:00,644
975D0V,17:30:00,17:40:00,1200
975D0V,17:40:00,17:50:00,600
975D0V,17:50:00,21:28:00,654
975D0V,21:28:00,22:15:00,960
975D1I,7:00:00,7:28:00,1680
975D1I,7:28:00,21:58:00,900
975D1I,21:58:00,22:20:00,1320
975D1V,7:00:00,7:44:00,2640
975D1V,7:44:00,9:19:00,950
975D1V,9:19:00,9:33:00,1620
975D1V,9:33:00,9:47:00,840
975D1V,9:47:00,22:30:00,904
918D2I,7:05:00,7:55:00,3000
918D2I,7:55:00,22:00:00,1047
918D2V,6:40:00,7:30:00,3000
918D2V,7:30:00,22:10:00,1047
918D0I,6:20:00,6:52:00,1920
918D0I,6:52:00,8:08:00,1520
918D0I,8:08:00,22:05:00,810
918D0V,5:50:00,6:20:00,1800
918D0V,6:20:00,7:32:00,1440
918D0V,7:32:00,22:15:00,801
918D1I,6:30:00,7:00:00,1800
918D1I,7:00:00,8:09:00,1380
918D1I,8:09:00,22:00:00,774
918D1V,6:05:00,6:35:00,1800
918D1V,6:35:00,7:42:00,1340
918D1V,7:42:00,20:22:00,760
918D1V,20:22:00,22:05:00,1200
919D2I,6:35:00,7:15:00,2400
919D2I,7:15:00,13:01:00,1298
919D2I,13:01:00,21:44:00,1491
919D2I,21:44:00,22:20:00,2160
919D2V,7:10:00,7:50:00,2400
919D2V,7:50:00,13:17:00,1308
919D2V,13:17:00,22:25:00,1494
919D0I,5:30:00,6:00:00,1800
919D0I,6:00:00,22:20:00,873
919D0V,5:45:00,6:05:00,1200
919D0V,6:05:00,22:20:00,868
919D1I,5:40:00,6:20:00,2400
919D1I,6:20:00,7:17:00,1710
919D1I,7:17:00,8:58:00,1010
919D1I,8:58:00,9:11:00,1560
919D1I,9:11:00,9:24:00,780
919D1I,9:24:00,21:45:00,1010
919D1I,21:45:00,22:20:00,2100
919D1V,5:45:00,6:20:00,2100
919D1V,6:20:00,7:37:00,1540
919D1V,7:37:00,16:40:00,987
919D1V,16:40:00,16:55:00,1740
919D1V,16:55:00,17:10:00,900
919D1V,17:10:00,22:25:00,1024
964D2I,7:25:00,8:10:00,2700
964D2I,8:10:00,21:55:00,1460
964D2V,7:00:00,7:43:00,2580
964D2V,7:43:00,22:15:00,1491
964D0I,6:05:00,6:29:00,1440
964D0I,6:29:00,19:46:00,1112
964D0I,19:46:00,20:00:00,1680
964D0I,20:00:00,20:14:00,840
964D0I,20:14:00,22:05:00,823
964D0V,5:40:00,6:04:00,1440
964D0V,6:04:00,22:15:00,1043
964D1I,6:25:00,6:50:00,1500
964D1I,6:50:00,21:50:00,1137
964D1V,6:00:00,6:25:00,1500
964D1V,6:25:00,21:10:00,1130
964D1V,21:10:00,22:15:00,1980
921D2I,7:15:00,7:40:00,1500
921D2I,7:40:00,22:20:00,1091
921D2V,7:15:00,7:40:00,1500
921D2V,7:40:00,22:20:00,1113
921D0I,6:00:00,6:20:00,1200
921D0I,6:20:00,20:46:00,753
921D0I,20:46:00,22:15:00,1050
921D0V,5:55:00,6:22:00,1620
921D0V,6:22:00,8:11:00,727
921D0V,8:11:00,8:29:00,1080
921D0V,8:29:00,8:38:00,540
921D0V,8:38:00,12:59:00,653
921D0V,12:59:00,22:20:00,859
921D1I,7:00:00,7:45:00,2700
921D1I,7:45:00,8:25:00,1200
921D1I,8:25:00,22:25:00,911
921D1V,6:35:00,7:20:00,2700
921D1V,7:20:00,8:00:00,1200
921D1V,8:00:00,8:42:00,1260
921D1V,8:42:00,8:55:00,1620
921D1V,8:55:00,9:08:00,780
921D1V,9:08:00,15:40:00,905
921D1V,15:40:00,15:54:00,1680
921D1V,15:54:00,16:08:00,840
921D1V,16:08:00,22:20:00,918
922D2I,6:40:00,7:20:00,2400
922D2I,7:20:00,8:10:00,1500
922D2I,8:10:00,22:20:00,1019
922D2V,6:05:00,6:45:00,2400
922D2V,6:45:00,8:03:00,1560
922D2V,8:03:00,16:07:00,1037
922D2V,16:07:00,16:22:00,1800
922D2V,16:22:00,16:37:00,900
922D2V,16:37:00,22:25:00,987
922D0I,6:15:00,6:40:00,1500
922D0I,6:40:00,7:16:00,1080
922D0I,7:16:00,21:53:00,721
922D0I,21:53:00,22:15:00,1320
922D0V,5:40:00,6:06:00,1560
922D0V,6:06:00,8:02:00,870
922D0V,8:02:00,8:12:00,1260
922D0V,8:12:00,8:23:00,660
922D0V,8:23:00,8:43:00,1200
922D0V,8:43:00,8:53:00,1200
922D0V,8:53:00,9:04:00,660
922D0V,9:04:00,21:35:00,727
922D0V,21:35:00,22:15:00,1200
922D1I,6:15:00,6:55:00,2400
922D1I,6:55:00,8:18:00,996
922D1I,8:18:00,8:40:00,1320
922D1I,8:40:00,8:51:00,660
922D1I,8:51:00,15:43:00,797
922D1I,15:43:00,15:56:00,1500
922D1I,15:56:00,16:09:00,780
922D1I,16:09:00,22:30:00,813
922D1V,5:40:00,6:20:00,2400
922D1V,6:20:00,7:46:00,1290
922D1V,7:46:00,8:47:00,915
922D1V,8:47:00,8:57:00,1260
922D1V,8:57:00,9:08:00,660
922D1V,9:08:00,22:15:00,797
923D2I,7:17:00,7:53:00,2160
923D2I,7:53:00,22:15:00,1395
923D2V,6:45:00,7:20:00,2100
923D2V,7:20:00,8:15:00,1650
923D2V,8:15:00,21:35:00,1444
923D2V,21:35:00,22:15:00,2400
923D0I,6:35:00,7:08:00,1980
923D0I,7:08:00,8:28:00,1200
923D0I,8:28:00,22:20:00,799
923D0V,6:00:00,6:30:00,1800
923D0V,6:30:00,8:55:00,967
923D0V,8:55:00,17:17:00,861
923D0V,17:17:00,17:29:00,1440
923D0V,17:29:00,17:42:00,780
923D0V,17:42:00,21:40:00,793
923D0V,21:40:00,22:15:00,1020
923D1I,6:35:00,7:12:00,2220
923D1I,7:12:00,8:47:00,1900
923D1I,8:47:00,22:20:00,1051
923D1V,6:35:00,7:15:00,2400
923D1V,7:15:00,8:06:00,1530
923D1V,8:06:00,22:20:00,1062
965D2I,7:30:00,8:08:00,2280
965D2I,8:08:00,22:20:00,1187
965D2V,7:00:00,7:35:00,2100
965D2V,7:35:00,8:19:00,1320
965D2V,8:19:00,22:15:00,1181
965D0I,6:15:00,6:50:00,2100
965D0I,6:50:00,8:05:00,900
965D0I,8:05:00,20:35:00,776
965D0I,20:35:00,22:20:00,1200
965D0V,5:45:00,6:20:00,2100
965D0V,6:20:00,7:36:00,1140
965D0V,7:36:00,19:58:00,768
965D0V,19:58:00,22:15:00,1170
965D1I,6:15:00,6:49:00,2040
965D1I,6:49:00,8:43:00,1710
965D1I,8:43:00,21:32:00,961
965D1I,21:32:00,22:20:00,1500
965D1V,5:45:00,6:20:00,2100
965D1V,6:20:00,8:10:00,1650
965D1V,8:10:00,20:58:00,960
965D1V,20:58:00,22:15:00,1500
827D0I,7:10:00,7:41:00,1860
827D0I,7:41:00,22:25:00,1481
827D0V,6:30:00,7:00:00,1800
827D0V,7:00:00,22:15:00,1443
925D2I,7:45:00,8:35:00,3000
925D2I,8:35:00,21:50:00,1084
925D2I,21:50:00,22:15:00,1500
925D2V,7:20:00,8:10:00,3000
925D2V,8:10:00,22:15:00,1092
925D0I,7:10:00,7:40:00,1800
925D0I,7:40:00,21:26:00,1077
925D0I,21:26:00,22:20:00,1620
925D0V,6:45:00,7:12:00,1620
925D0V,7:12:00,8:22:00,1400
925D0V,8:22:00,21:52:00,1105
925D0V,21:52:00,22:20:00,1680
925D1I,7:45:00,8:15:00,1800
925D1I,8:15:00,8:48:00,990
925D1I,8:48:00,22:20:00,970
925D1V,7:20:00,8:05:00,2700
925D1V,8:05:00,8:47:00,1260
925D1V,8:47:00,9:00:00,1560
925D1V,9:00:00,9:13:00,780
925D1V,9:13:00,14:01:00,823
925D1V,14:01:00,22:25:00,1076
929D2I,6:55:00,7:50:00,3300
929D2I,7:50:00,22:00:00,926
929D2V,6:30:00,7:25:00,3300
929D2V,7:25:00,22:05:00,925
929D0I,6:05:00,6:35:00,1800
929D0I,6:35:00,7:21:00,1380
929D0I,7:21:00,22:05:00,778
929D0V,5:40:00,6:10:00,1800
929D0V,6:10:00,6:54:00,1320
929D0V,6:54:00,8:19:00,1020
929D0V,8:19:00,8:31:00,1440
929D0V,8:31:00,8:42:00,330
929D0V,8:42:00,9:03:00,1260
929D0V,9:03:00,9:14:00,660
929D0V,9:14:00,22:15:00,767
929D1I,6:05:00,7:10:00,3900
929D1I,7:10:00,8:17:00,2010
929D1I,8:17:00,20:02:00,1007
929D1I,20:02:00,21:22:00,1600
929D1I,21:22:00,21:40:00,2160
929D1I,21:40:00,22:00:00,1200
929D1V,5:40:00,6:40:00,3600
929D1V,6:40:00,7:50:00,2100
929D1V,7:50:00,22:05:00,1043
971D0I,6:35:00,7:08:00,1980
971D0I,7:08:00,21:00:00,1062
971D0I,21:00:00,21:35:00,2100
971D0I,21:35:00,22:10:00,2100
971D0V,6:30:00,6:56:00,1560
971D0V,6:56:00,9:38:00,1389
971D0V,9:38:00,9:53:00,1800
971D0V,9:53:00,10:09:00,960
971D0V,10:09:00,20:50:00,1039
971D0V,20:50:00,22:15:00,1650
930D2I,7:30:00,8:05:00,2100
930D2I,8:05:00,8:55:00,1500
930D2I,8:55:00,20:49:00,1020
930D2I,20:49:00,21:04:00,1740
930D2I,21:04:00,21:20:00,960
930D2I,21:20:00,22:35:00,1100
930D2V,7:00:00,7:33:00,1980
930D2V,7:33:00,8:22:00,1470
930D2V,8:22:00,22:20:00,993
930D0I,6:15:00,6:33:00,1080
930D0I,6:33:00,7:52:00,948
930D0I,7:52:00,21:48:00,706
930D0I,21:48:00,22:25:00,1020
930D0V,6:00:00,6:18:00,1080
930D0V,6:18:00,7:15:00,855
930D0V,7:15:00,7:34:00,1140
930D0V,7:34:00,7:43:00,1080
930D0V,7:43:00,7:53:00,600
930D0V,7:53:00,8:51:00,696
930D0V,8:51:00,9:00:00,1140
930D0V,9:00:00,9:09:00,540
930D0V,9:09:00,20:26:00,725
930D0V,20:26:00,20:36:00,1200
930D0V,20:36:00,20:47:00,660
930D0V,20:47:00,22:10:00,780
930D1I,6:35:00,7:10:00,2100
930D1I,7:10:00,8:03:00,1590
930D1I,8:03:00,22:05:00,765
930D1I,22:05:00,22:25:00,1200
930D1V,6:00:00,6:35:00,2100
930D1V,6:35:00,7:28:00,1590
930D1V,7:28:00,8:27:00,1180
930D1V,8:27:00,8:39:00,1440
930D1V,8:39:00,8:50:00,330
930D1V,8:50:00,9:12:00,1320
930D1V,9:12:00,9:23:00,330
930D1V,9:23:00,9:45:00,1320
930D1V,9:45:00,9:56:00,660
930D1V,9:56:00,22:25:00,767
860D2I,7:10:00,7:55:00,2700
860D2I,7:55:00,8:33:00,1140
860D2I,8:33:00,19:41:00,786
860D2I,19:41:00,19:52:00,1320
860D2I,19:52:00,20:03:00,660
860D2I,20:03:00,21:34:00,683
860D2I,21:34:00,22:25:00,1020
860D2V,6:50:00,7:34:00,2640
860D2V,7:34:00,8:34:00,1200
