GID,TYPE,RESTRICTION,ACCESS
J,C,OPEN,ENTRANCE
Z01,CP,OPEN,ENTRANCE-EXIT
Z02,C,RESTRICTED,NA
K,CP,OPEN,ENTRANCE-EXIT
L,CP,OPEN,ENTRANCE-EXIT
Z03,P,OPEN,NA
M,CP,OPEN,ENTRANCE-EXIT
N,C,OPEN,ENTRANCE
Z04,C,OPEN,EXIT
O,P,OPEN,NA
Z05,P,OPEN,NA
Z06,C,RESTRICTED,NA
P,CP,OPEN,ENTRANCE-EXIT
R,CP,OPEN,ENTRANCE
S,C,OPEN,ENTRANCE-EXIT
Z07,C,OPEN,ENTRANCE-EXIT
A,CP,OPEN,ENTRANCE-EXIT
B,CP,OPEN,ENTRANCE-EXIT
Z08,C,OPEN,EXIT
Z09,C,RESTRICTED,NA
Z10,C,RESTRICTED,NA
D,C,OPEN,ENTRANCE-EXIT
Z11,C,RESTRICTED,NA
Z12,CP,OPEN,ENTRANCE-EXIT
F,CP,RESTRICTED,NA
Z13,C,RESTRICTED,NA
Z14,C,RESTRCTED,NA
G,CP,OPEN,ENTRANCE
Z15,P,OPEN,NA
H,CP,OPEN,EXIT
Z16,C,RESTRICTED,NA
I,CP,OPEN,EXIT
Z17,C,RESTRICTED,NA
Z18,C,OPEN,EXIT
